title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"Sherlock Jr.",movie,"Action, Comedy, Romance",1924,tt0015324,8.2,61939,
"Mulholland Drive",movie,"Drama, Mystery, Thriller",2001,tt0166924,7.9,406820,
Breathless,movie,"Action, Drama, Romance",1983,tt0085276,6,11270,
"The Hidden Fortress",movie,"Adventure, Drama",1958,tt0051808,8,43997,
"Point Break",movie,"Action, Crime, Thriller",1991,tt0102685,7.3,213722,
"The Third Man",movie,"Drama, Film-Noir, Mystery",1949,tt0041959,8.1,189647,
"Escape from New York",movie,"Action, Adventure, Sci-Fi",1981,tt0082340,7.1,165629,
"The Wind that Shakes the Barley",movie,"Drama, War",2006,tt0460989,7.5,56830,
"Catch a Fire",movie,"Biography, Drama, History",2006,tt0437232,6.7,11178,
Dreamgirls,movie,"Drama, Musical",2006,tt0443489,6.6,78950,
"The Miracle Worker",movie,"Biography, Drama",1962,tt0056241,8.1,21427,
"The Queen",movie,"Biography, Drama",2006,tt0436697,7.3,117699,
"The Talented Mr. Ripley",movie,"Crime, Drama, Thriller",1999,tt0134119,7.4,261150,
"The Remains of the Day",movie,"Drama, Romance",1993,tt0107943,7.8,88661,
"Rocky Balboa",movie,"Drama, Sport",2006,tt0479143,7.1,237268,
"Hannibal Rising",movie,"Adventure, Crime, Drama",2007,tt0367959,6.1,119107,
Hollywoodland,movie,"Biography, Crime, Drama",2006,tt0427969,6.5,36573,
"Letters from Iwo Jima",movie,"Action, Adventure, Drama",2006,tt0498380,7.8,173672,
"Lonely Hearts",movie,"Biography, Crime, Drama",2006,tt0441774,6.4,22774,
"The Host",movie,"Drama, Horror, Sci-Fi",2006,tt0468492,7.1,138485,
"Because I Said So",movie,"Comedy, Romance",2007,tt0490084,5.6,41037,
"American Psycho",movie,"Crime, Drama, Horror",2000,tt0144084,7.6,779702,
Rocky,movie,"Drama, Sport",1976,tt0075148,8.1,659483,
"Rocky II",movie,"Drama, Sport",1979,tt0079817,7.3,240170,
"First Blood",movie,"Action, Adventure, Thriller",1982,tt0083944,7.7,289258,
"Rambo: First Blood Part II",movie,"Action, Adventure, Thriller",1985,tt0089880,6.5,189678,
"Rambo III",movie,"Action, Adventure, Thriller",1988,tt0095956,5.8,145121,
"Rocky III",movie,"Drama, Sport",1982,tt0084602,6.8,219513,
"Rocky IV",movie,"Drama, Sport",1985,tt0089927,6.9,235510,
"Rocky V",movie,"Drama, Sport",1990,tt0100507,5.4,155918,
Houseboat,movie,"Comedy, Drama, Family",1958,tt0051745,6.6,10087,
"The Fountain",movie,"Drama, Mystery, Romance",2006,tt0414993,7.1,253355,
"Me and You and Everyone We Know",movie,"Comedy, Drama",2005,tt0415978,7.2,38076,
"Out of Sight",movie,"Comedy, Crime, Drama",1998,tt0120780,7,102815,
"Duel at Diablo",movie,"Drama, Thriller, Western",1966,tt0060355,6.5,4616,
"City Slickers",movie,"Comedy, Western",1991,tt0101587,6.8,65701,
"Pan's Labyrinth",movie,"Drama, Fantasy, War",2006,tt0457430,8.2,724591,
