title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"Letters from Iwo Jima",movie,"Action, Adventure, Drama",2006,tt0498380,7.8,173672,
"Street Kings",movie,"Action, Crime, Thriller",2008,tt0421073,6.8,123862,
300,movie,"Action, Drama",2006,tt0416449,7.6,890586,
"The Dreamers",movie,"Drama, Romance",2003,tt0309987,7.1,137618,
"Sex and Lucía",movie,"Drama, Romance",2001,tt0254455,7,39750,
"First Blood",movie,"Action, Adventure, Thriller",1982,tt0083944,7.7,289258,
"Rambo: First Blood Part II",movie,"Action, Adventure, Thriller",1985,tt0089880,6.5,189678,
"Rambo III",movie,"Action, Adventure, Thriller",1988,tt0095956,5.8,145121,
"Blood Diamond",movie,"Adventure, Drama, Thriller",2006,tt0450259,8,606770,
"Y tu mamá también",movie,Drama,2001,tt0245574,7.7,134476,
Nostalghia,movie,Drama,1983,tt0086022,7.9,31690,
"La Vie En Rose",movie,"Biography, Drama, Music",2007,tt0450188,7.5,92329,
"The Departed",movie,"Crime, Drama, Thriller",2006,tt0407887,8.5,1486675,
"The Contract",movie,"Action, Crime, Drama",2006,tt0445946,5.6,26689,
"The Virgin Suicides",movie,"Drama, Romance",1999,tt0159097,7.2,178874,
Immortality,movie,"Crime, Mystery, Romance",1998,tt0120894,6.2,6339,
"Superman Returns",movie,"Action, Adventure, Sci-Fi",2006,tt0348150,6.1,296015,
"The Illusionist",movie,"Drama, Fantasy, Mystery",2006,tt0443543,7.5,397248,
"Miss Congeniality",movie,"Action, Comedy, Crime",2000,tt0212346,6.3,240037,
"The Last King of Scotland",movie,"Biography, Drama, History",2006,tt0455590,7.6,201048,
"Spy Game",movie,"Action, Crime, Thriller",2001,tt0266987,7.1,172327,
Collateral,movie,"Action, Crime, Drama",2004,tt0369339,7.5,448516,
"Office Space",movie,Comedy,1999,tt0151804,7.6,299006,
"Live Free or Die Hard",movie,"Action, Thriller",2007,tt0337978,7.1,428939,
"Die Hard 2",movie,"Action, Thriller",1990,tt0099423,7.1,396373,
Chicago,movie,"Comedy, Crime, Musical",2002,tt0299658,7.2,250172,
"Resident Evil",movie,"Action, Horror, Sci-Fi",2002,tt0120804,6.6,299286,
"Resident Evil: Apocalypse",movie,"Action, Horror, Sci-Fi",2004,tt0318627,6.1,215841,
Apocalypto,movie,"Action, Adventure, Drama",2006,tt0472043,7.8,344865,
"What's Eating Gilbert Grape",movie,Drama,1993,tt0108550,7.7,261876,
"Bring It On",movie,"Comedy, Romance, Sport",2000,tt0204946,6.2,110051,
"Meet the Parents",movie,"Comedy, Romance",2000,tt0212338,7,367978,
"I Heart Huckabees",movie,Comedy,2004,tt0356721,6.5,67013,
"The Island",movie,"Action, Sci-Fi, Thriller",2005,tt0399201,6.8,334258,
"Speed 2: Cruise Control",movie,"Action, Adventure, Crime",1997,tt0120179,4,88262,
Crash,movie,"Crime, Drama, Thriller",2004,tt0375679,7.7,455498,
"A Time to Kill",movie,"Crime, Drama, Thriller",1996,tt0117913,7.5,190062,
"The Legend of Zorro",movie,"Action, Adventure, Romance",2005,tt0386140,6,111211,
"Con Air",movie,"Action, Crime, Thriller",1997,tt0118880,6.9,330150,
Copycat,movie,"Drama, Mystery, Thriller",1995,tt0112722,6.6,69896,
"The Cider House Rules",movie,"Drama, Romance",1999,tt0124315,7.4,107318,
"The Incredible Hulk",movie,"Action, Adventure, Sci-Fi",2008,tt0800080,6.6,543566,
"Iron Man",movie,"Action, Adventure, Sci-Fi",2008,tt0371746,7.9,1172904,
"The Piano Teacher",movie,"Drama, Music",2001,tt0254686,7.5,76071,
"The Devil's Advocate",movie,"Drama, Fantasy, Mystery",1997,tt0118971,7.5,422984,
Transformers,movie,"Action, Adventure, Sci-Fi",2007,tt0418279,7.1,696830,
Sunflower,movie,"Drama, War",1970,tt0065782,7.3,4844,
"The Karate Kid",movie,"Action, Drama, Family",1984,tt0087538,7.3,258743,
"Star Wars: Episode V - The Empire Strikes Back",movie,"Action, Adventure, Fantasy",1980,tt0080684,8.7,1440209,
"Star Wars: Episode VI - Return of the Jedi",movie,"Action, Adventure, Fantasy",1983,tt0086190,8.3,1164085,
"The Beach",movie,"Adventure, Drama, Romance",2000,tt0163978,6.6,261027,
"Sweet November",movie,"Drama, Romance",2001,tt0230838,6.7,96881,
Superman,movie,"Action, Adventure, Sci-Fi",1978,tt0078346,7.4,196042,
"The Amazing Spider-Man",movie,"Action, Sci-Fi",2012,tt0948470,6.9,732995,
"The Others",movie,"Horror, Mystery, Thriller",2001,tt0230600,7.6,409789,
Zodiac,movie,"Crime, Drama, Mystery",2007,tt0443706,7.7,635049,
"A Perfect Murder",movie,"Crime, Drama, Thriller",1998,tt0120787,6.6,95328,
Bandidas,movie,"Action, Comedy, Crime",2006,tt0416496,5.7,38185,
"Aguirre, the Wrath of God",movie,"Action, Adventure, Biography",1972,tt0068182,7.8,65249,
"The Mourning Forest",movie,Drama,2007,tt1016205,6.7,2990,
"Secret Sunshine",movie,Drama,2007,tt0817225,7.5,10190,
Hidalgo,movie,"Action, Adventure, Biography",2004,tt0317648,6.7,87295,
Hostage,movie,"Action, Crime, Drama",2005,tt0340163,6.5,114909,
"Say Anything",movie,"Comedy, Drama, Romance",1989,tt0098258,7.3,99364,
"Training Day",movie,"Crime, Drama, Thriller",2001,tt0139654,7.8,495717,
"The Lake House",movie,"Drama, Fantasy, Romance",2006,tt0410297,6.8,161604,
"I, Robot",movie,"Action, Mystery, Sci-Fi",2004,tt0343818,7.1,596581,
"The Getaway",movie,"Action, Adventure, Crime",1994,tt0109890,5.8,20594,
"Gappa the Triphibian Monster",movie,"Action, Adventure, Comedy",1967,tt0061550,4.4,1814,
Payback,movie,"Action, Crime, Drama",1999,tt0120784,7.1,149825,
"L.A. Confidential",movie,"Crime, Drama, Mystery",1997,tt0119488,8.2,640807,
"Me, Myself & Irene",movie,Comedy,2000,tt0183505,6.6,258758,
"The Perfect Storm",movie,"Action, Adventure, Drama",2000,tt0177971,6.5,183711,
"The Time Machine",movie,"Action, Adventure, Sci-Fi",2002,tt0268695,6,133290,
"Cop Land",movie,"Crime, Drama, Thriller",1997,tt0118887,7,111255,
Valkyrie,movie,"Drama, History, Thriller",2008,tt0985699,7.1,266506,
"Paris, Je T'aime",movie,"Comedy, Drama, Romance",2006,tt0401711,7.2,75540,
"The Golden Compass",movie,"Adventure, Family, Fantasy",2007,tt0385752,6.1,200495,
Big,movie,"Comedy, Drama, Fantasy",1988,tt0094737,7.3,250062,
Closer,movie,"Drama, Romance",2004,tt0376541,7.2,244303,
Beowulf,movie,"Action, Adventure, Animation",2007,tt0442933,6.3,177322,
"Executive Decision",movie,"Action, Adventure, Thriller",1996,tt0116253,6.5,63531,
Taxi,movie,"Action, Comedy, Crime",1998,tt0152930,7,92879,
"10 Items or Less",movie,"Comedy, Drama",2006,tt0499603,6.5,16684,
"Joint Security Area",movie,"Action, Drama, Thriller",2000,tt0260991,7.7,36327,
"The Bourne Identity",movie,"Action, Mystery, Thriller",2002,tt0258463,7.8,594583,
"The Bourne Supremacy",movie,"Action, Thriller",2004,tt0372183,7.7,499948,
"The Bourne Ultimatum",movie,"Action, Mystery, Thriller",2007,tt0440963,8,671218,
"The Specialist",movie,"Action, Drama, Thriller",1994,tt0111255,5.6,71654,
"Dark City",movie,"Fantasy, Mystery, Sci-Fi",1998,tt0118929,7.6,219542,
"The Ring",movie,"Horror, Mystery",1998,tt0178868,7.2,81777,
"The Abyss",movie,"Adventure, Drama, Mystery",1989,tt0096754,7.5,201585,
"Addams Family Values",movie,"Comedy, Fantasy",1993,tt0106220,6.8,116982,
"As Good as It Gets",movie,"Comedy, Drama, Romance",1997,tt0119822,7.7,328432,
"The Astronaut's Wife",movie,"Drama, Sci-Fi, Thriller",1999,tt0138304,5.4,58303,
"The Addams Family",movie,"Comedy, Fantasy",1991,tt0101272,7,191180,
"Ghostbusters II",movie,"Action, Comedy, Fantasy",1989,tt0097428,6.6,233355,
Roar,movie,"Adventure, Comedy, Thriller",1981,tt0083001,6.1,4959,
"One on Top of the Other",movie,"Drama, Horror, Mystery",1969,tt0065148,6.6,2871,
"The Searchers",movie,"Adventure, Western",1956,tt0049730,7.8,100229,
"Battle Royale",movie,"Adventure, Drama, Thriller",2000,tt0266308,7.5,200841,
"Battle Royale II",movie,"Action, Adventure, Drama",2003,tt0338763,4.6,21918,
"Good Night, and Good Luck.",movie,"Biography, Drama, History",2005,tt0433383,7.4,102980,
"Under Siege 2: Dark Territory",movie,"Action, Adventure, Thriller",1995,tt0114781,5.6,51749,
"Girl, Interrupted",movie,"Biography, Drama",1999,tt0172493,7.3,224237,
"Black Sheep",movie,"Comedy, Horror, Sci-Fi",2006,tt0779982,5.8,42762,
