title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
Solaris,movie,"Drama, Mystery, Sci-Fi",1972,tt0069293,7.9,101854,
Titanic,movie,"Drama, Romance",1997,tt0120338,7.9,1338624,
"City of God",movie,"Crime, Drama",2002,tt0317248,8.6,836829,
"Full Metal Jacket",movie,"Drama, War",1987,tt0093058,8.2,821484,
"The Matrix",movie,"Action, Sci-Fi",1999,tt0133093,8.7,2153928,
"The Matrix Reloaded",movie,"Action, Sci-Fi",2003,tt0234215,7.2,651765,
"The Matrix Revolutions",movie,"Action, Sci-Fi",2003,tt0242653,6.7,560599,
"Men in Black",movie,"Action, Adventure, Comedy",1997,tt0119654,7.3,639554,
"Men in Black II",movie,"Action, Adventure, Comedy",2002,tt0120912,6.2,418773,
Poltergeist,movie,"Horror, Thriller",1982,tt0084516,7.3,188013,
Munich,movie,"Drama, History, Thriller",2005,tt0408306,7.5,247119,
"Wild Strawberries",movie,"Drama, Romance",1957,tt0050986,8.1,120391,
"The Last Samurai",movie,"Action, Drama",2003,tt0325710,7.8,488845,
"Wild Things",movie,"Crime, Drama, Mystery",1998,tt0120890,6.6,136254,
"The Bodyguard",movie,"Drama, Music, Romance",1992,tt0103855,6.4,153897,
Ghostbusters,movie,"Action, Comedy, Fantasy",1984,tt0087332,7.8,470295,
Grease,movie,"Comedy, Musical, Romance",1978,tt0077631,7.2,314399,
"Interview with the Vampire",movie,"Drama, Fantasy, Horror",1994,tt0110148,7.5,362475,
"The Usual Suspects",movie,"Crime, Drama, Mystery",1995,tt0114814,8.5,1189079,
"The Wizard of Oz",movie,"Adventure, Family, Fantasy",1939,tt0032138,8.1,450345,
"Bridget Jones's Diary",movie,"Comedy, Drama, Romance",2001,tt0243155,6.8,277959,
"Catch Me If You Can",movie,"Biography, Crime, Drama",2002,tt0264464,8.1,1164155,
"Battleship Potemkin",movie,"Drama, History, Thriller",1925,tt0015648,7.9,63348,
